,magnitude,depth
318,4.6,7.09
319,2.92,12.0
320,2.8,108.13
321,2.7,10.0
322,5.3,497.59
323,2.51,11.0
324,4.8,10.0
325,2.71,9.0
326,2.96,8.0
327,2.53,35.31
328,2.8,10.0
329,3.11,9.0
330,5.1,10.0
331,4.6,10.0
332,4.6,10.0
333,4.6,10.0
334,4.3,9.27
335,4.7,154.67
336,4.7,46.59
337,2.61,5.92
338,2.89,10.68
339,2.98,12.0
340,2.68,11.0
341,4.9,17.17
342,3.65,9.0
343,4.9,97.8
344,4.6,10.0
345,4.4,67.93
346,3.7,9.9
347,4.7,109.25
348,3.0,10.0
349,3.49,16.11
350,2.58,10.0
351,2.9,5.0
352,2.56,10.0
353,3.0,3.7
354,2.98,14.0
355,2.5,5.0
356,2.68,18.0
357,4.8,106.89
358,2.81,9.0
359,4.33,0.94
360,3.1,24.8
361,3.2,1.1
362,4.3,97.29
363,2.92,10.0
364,2.84,15.0
365,2.7,10.0
366,2.89,12.0
367,4.7,10.0
368,5.0,10.0
369,2.9,0.0
370,3.94,9.98
371,2.65,15.0
372,4.1,213.06
373,2.63,12.0
374,2.87,8.0
375,2.95,21.0
376,6.1,10.0
377,5.0,323.1
378,2.7,81.4
379,2.51,7.41
380,2.57,8.0
381,3.4,13.7
382,5.6,10.0
383,3.3,15.0
384,4.9,10.0
385,2.5,26.2
386,4.6,10.0
387,3.1,5.0
388,2.5,10.0
389,2.7,10.0
